brand,product,url,imgSrc,name,categories,specific,hex,lightness,namingScheme
Revlon,ColorStay Full Cover Foundation,https://www.ulta.com/colorstay-full-cover-foundation?productId=xlsImpprod18391067,https://images.ulta.com/is/image/Ulta/2527760sw?$50px$,nude,skin,200,#F5CCAE,0.8215686275,nude
Revlon,ColorStay Makeup For Combo/Oily Skin,https://www.ulta.com/colorstay-makeup-combooily-skin?productId=xlsImpprod1810157,https://images.ulta.com/is/image/Ulta/2123484sw?$50px$,nude,skin,200,#F1B396,0.7666666667,nude
Revlon,ColorStay Makeup For Normal/Dry Skin,https://www.ulta.com/colorstay-makeup-normaldry-skin?productId=xlsImpprod1810159,https://images.ulta.com/is/image/Ulta/2123505sw?$50px$,nude,skin,200,#F1B396,0.7666666667,nude
SEPHORA COLLECTION,MicroSmooth Baked Powder Foundation,https://www.sephora.com/product/baked-foundation-face-powder-P310719?icid2=products%20grid:p310719,/productimages/sku/s1372150+sw.jpg,nude,skin,15,#D9B69F,0.737254902,nude
Sephora Favorites,Deep Customizable Foundation Set with Too Faced Born This Way Foundation,https://www.sephora.com/product/sephora-favorites-sephora-favorites-deep-customizable-foundation-set-with-too-faced-born-this-way-foundation-P453905?icid2=products%20grid:p453905,/productimages/sku/s1711944+sw.jpg,nude,skin,NA,#DBB096,0.7235294118,nude
Sephora Favorites,Deep Customizable Foundation Set with Too Faced Born This Way Foundation,https://www.sephora.com/product/sephora-favorites-sephora-favorites-deep-customizable-foundation-set-with-too-faced-born-this-way-foundation-P453905?icid2=products%20grid:p453905,/productimages/sku/s1711951+sw.jpg,warm nude,"descriptor, skin",NA,#EABFA4,0.7803921569,nude
TOM FORD,Traceless Foundation Stick,https://www.sephora.com/product/traceless-foundation-stick-P422453?icid2=products%20grid:p422453,/productimages/sku/s2183754+sw.jpg,nude ivory,"skin, gem, color",1.3,#D7A683,0.6784313725,nude
TOM FORD,Traceless Soft Matte Foundation,https://www.sephora.com/product/tom-ford-traceless-soft-matte-foundation-P459506?icid2=products%20grid:p459506,/productimages/sku/s2366995+sw.jpg,nude ivory,"skin, gem, color",1.3,#E2C8AE,0.7843137255,nude
Too Faced,Born This Way Foundation,https://www.sephora.com/product/born-this-way-P397517?icid2=products%20grid:p397517,/productimages/sku/s1711944+sw.jpg,nude,skin,NA,#DBB096,0.7235294118,nude
Too Faced,Born This Way Foundation,https://www.sephora.com/product/born-this-way-P397517?icid2=products%20grid:p397517,/productimages/sku/s1711951+sw.jpg,warm nude,"descriptor, skin",NA,#EABFA4,0.7803921569,nude
Too Faced,Born This Way Pressed Powder Foundation,https://www.sephora.com/product/born-this-way-multi-use-complexion-powder-P447123?icid2=products%20grid:p447123,/productimages/sku/s2260818+sw.jpg,nude,skin,NA,#E8C09D,0.762745098,nude
Too Faced,Born This Way Undetectable Medium-to-Full Coverage Foundation,https://www.ulta.com/born-this-way-undetectable-medium-full-coverage-foundation?productId=xlsImpprod12621017,https://images.ulta.com/is/image/Ulta/2290018sw?$50px$,nude,skin,NA,#E8B087,0.7196078431,nude
Too Faced,Born This Way Undetectable Medium-to-Full Coverage Foundation,https://www.ulta.com/born-this-way-undetectable-medium-full-coverage-foundation?productId=xlsImpprod12621017,https://images.ulta.com/is/image/Ulta/2290019sw?$50px$,warm nude,"descriptor, skin",NA,#DCAB83,0.6882352941,nude
Too Faced,Born This Way Undetectable Medium-to-Full Coverage Powder Foundation,https://www.ulta.com/born-this-way-undetectable-medium-full-coverage-powder-foundation?productId=pimprod2007607,https://images.ulta.com/is/image/Ulta/2546994sw?$50px$,nude,skin,NA,#E7BF92,0.7392156863,nude
Too Faced,Peach Perfect Comfort Matte Foundation – Peaches and Cream Collection,https://www.sephora.com/product/peach-perfect-comfort-moisture-matte-foundation-peaches-cream-collection-P422601?icid2=products%20grid:p422601,/productimages/sku/s1961556+sw.jpg,nude,skin,NA,#E9C5A7,0.7843137255,nude
Wet n Wild,Photo Focus Dewy Foundation,https://www.ulta.com/photo-focus-dewy-foundation?productId=pimprod2013416,https://images.ulta.com/is/image/Ulta/2558114sw?$50px$,nude ivory,"skin, gem, color",NA,#E0C6AD,0.7784313725,nude
Wet n Wild,PhotoFocus Liquid Foundation,https://www.ulta.com/photofocus-liquid-foundation?productId=xlsImpprod16731069,https://images.ulta.com/is/image/Ulta/2518277sw?$50px$,nude ivory,"skin, gem, color",NA,#EDBFA1,0.7803921569,nude
